"Country/Region","Province","Date","Type"
"Afghanistan",NA,2020-03-24,"Full"
"Albania",NA,2020-03-08,"Full"
"Algeria",NA,2020-03-24,"Full"
"Andorra",NA,2020-03-16,"Full"
"Angola",NA,2020-03-24,"Full"
"Antigua and Barbuda",NA,NA,"None"
"Argentina",NA,2020-03-20,"Full"
"Armenia",NA,2020-03-24,"Full"
"Australia","Australian Capital Territory",NA,"None"
"Australia","New South Wales",NA,"None"
"Australia","Northern Territory",NA,"None"
"Australia","Queensland",NA,"None"
"Australia","South Australia",NA,"None"
"Australia","Tasmania",NA,"None"
"Australia","Victoria",2020-03-24,"Full"
"Australia","Western Australia",NA,"None"
"Austria",NA,2020-03-16,"Full"
"Azerbaijan",NA,2020-03-02,"Full"
"Bahamas",NA,2020-03-20,"Full"
"Bahrain",NA,2020-02-25,"Full"
"Bangladesh",NA,2020-03-19,"Full"
"Barbados",NA,2020-03-28,"Full"
"Belarus",NA,NA,"None"
"Belgium",NA,2020-03-17,"Full"
"Belize",NA,2020-03-30,"Full"
"Benin",NA,NA,"None"
"Bhutan",NA,2020-03-06,"Full"
"Bolivia",NA,2020-03-12,"Full"
"Bosnia and Herzegovina",NA,2020-03-11,"Full"
"Botswana",NA,2020-04-02,"Full"
"Brazil",NA,NA,"None"
"Brunei",NA,NA,"None"
"Bulgaria",NA,2020-03-13,"Full"
"Burkina Faso",NA,2020-03-21,"Full"
"Burma",NA,NA,"None"
"Cabo Verde",NA,NA,"None"
"Cambodia",NA,2020-03-28,"Partial"
"Cameroon",NA,NA,"None"
"Canada","Alberta",2020-03-17,"Full"
"Canada","British Columbia",2020-03-18,"Full"
"Canada","Manitoba",2020-03-20,"Full"
"Canada","New Brunswick",2020-03-19,"Full"
"Canada","Newfoundland and Labrador",2020-03-18,"Full"
"Canada","Northwest Territories",2020-03-18,"Partial"
"Canada","Nova Scotia",2020-03-22,"Full"
"Canada","Ontario",2020-03-14,"Full"
"Canada","Prince Edward Island",2020-03-16,"Full"
"Canada","Quebec",2020-03-12,"Full"
"Canada","Saskatchewan",2020-03-18,"Full"
"Canada","Yukon",2020-03-18,"Partial"
"Central African Republic",NA,NA,"None"
"Chad",NA,NA,"None"
"Chile",NA,2020-03-26,"Full"
"China","Anhui",2020-01-23,"Full"
"China","Beijing",2020-01-23,"Full"
"China","Chongqing",2020-01-23,"Full"
"China","Fujian",2020-01-23,"Full"
"China","Gansu",2020-01-23,"Full"
"China","Guangdong",2020-01-23,"Full"
"China","Guangxi",2020-01-23,"Full"
"China","Guizhou",2020-01-23,"Full"
"China","Hainan",2020-01-23,"Full"
"China","Hebei",2020-01-23,"Full"
"China","Heilongjiang",2020-01-23,"Full"
"China","Henan",2020-01-23,"Full"
"China","Hong Kong",2020-03-23,"Full"
"China","Hubei",2020-01-23,"Full"
"China","Hunan",2020-01-23,"Full"
"China","Inner Mongolia",2020-01-23,"Full"
"China","Jiangsu",2020-01-23,"Full"
"China","Jiangxi",2020-01-23,"Full"
"China","Jilin",2020-01-23,"Full"
"China","Liaoning",2020-01-23,"Full"
"China","Macau",2020-01-26,"Full"
"China","Ningxia",2020-01-23,"Full"
"China","Qinghai",2020-01-23,"Full"
"China","Shaanxi",2020-01-23,"Full"
"China","Shandong",2020-01-23,"Full"
"China","Shanghai",2020-01-23,"Full"
"China","Shanxi",2020-01-23,"Full"
